Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_pink_COHA_GENERIC,GPT_CATEGORY
1928,MAG,Time,,"minutes the shrewd sword thrusts of Captain Czlovoydi. When the Cavalryman at last slightly pinked the Count on the shoulder, Negress Baker flung herself hysterically between the duelists,",NONE,NONE,NONE,"minutes the shrewd sword thrusts of Captain Czlovoydi. When the Cavalryman at last slightly pinked the Count on the shoulder, Negress Baker flung herself hysterically between the duelists,",unknown,NONE,NONE
1928,MAG,Time,,"august father of the Sublime Empress Nagako. # Poorly aimed, the dagger merely pinked his Highness' chauffeur. Pouncing police not only collared would-be assassin Meika but efficiently",NONE,NONE,NONE,"august father of the Sublime Empress Nagako. # Poorly aimed, the dagger merely pinked his Highness' chauffeur. Pouncing police not only collared would-be assassin Meika but efficiently",unknown,NONE,NONE
1928,MAG,Time,,"a Conservative party picnic was being held. When reporters crowded round, the lady pinked with amiability. "" I was wondering as I entered the Zoo, "" she",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"a Conservative party picnic was being held. When reporters crowded round, the lady pinked with amiability. "" I was wondering as I entered the Zoo, "" she",unknown,BLUSH,BLUSH
1936,MAG,Time,,"me! "" Pow, pow, pow. Down went Clayton Clawson, neatly pinked in arms and legs. The bottle crashed to the floor, where it gave",NONE,NONE,NONE,"me! "" Pow, pow, pow. Down went Clayton Clawson, neatly pinked in arms and legs. The bottle crashed to the floor, where it gave",unknown,NONE,NONE
1937,MAG,Time,,"("" Magda de Fontanges ""), Parisian journalist and actress who last spring pinked France's one-time Ambassador to Italy Count Charles Pineton de Chambrun for breaking up her",NONE,NONE,NONE,"("" Magda de Fontanges ""), Parisian journalist and actress who last spring pinked France's one-time Ambassador to Italy Count Charles Pineton de Chambrun for breaking up her",unknown,NONE,NONE
1937,NF/ACAD,YourClothesPersonality,,"is a firmly woven one, such as wool flannel, the edges may be pinked. Pinking is a saw-tooth edge given it by special shears or machine, or",NOUN,NONE,NONE,"is a firmly woven one, such as wool flannel, the edges may be pinked. Pinking is a saw-tooth edge given it by special shears or machine, or",unknown,NONE,NONE
1938,MAG,SatEvePost,,"on a cove like you? "" From amongst the coins in his palm he pinked out two dark, glossy objects the size and shape of half lumps of sugar",NONE,MAKE_PINK,NONE,"on a cove like you? "" From amongst the coins in his palm he pinked out two dark, glossy objects the size and shape of half lumps of sugar",unknown,NONE,NONE
1940,MAG,Time,,", Catnapper Coveleskie seized the officer's gun, took hasty but sleepy aim, pinked himself in the leg. # # Astute # In Jamestown, N. Y.,",NONE,NONE,NONE,", Catnapper Coveleskie seized the officer's gun, took hasty but sleepy aim, pinked himself in the leg. # # Astute # In Jamestown, N. Y.,",unknown,NONE,NONE
1941,FIC,MarksOwn,,"errands in New Hartford. She had bought a short knife with curled tip, pinked edge and a red handle painted with forget-me-nots. On her way home she remembered",ADJECTIVE,ADJECTIVE,ADJECTIVE,"errands in New Hartford. She had bought a short knife with curled tip, pinked edge and a red handle painted with forget-me-nots. On her way home she remembered",unknown,ADJECTIVE,ADJECTIVE
1944,MAG,Atlantic,,"gave him several units of blood plasma and he began to regain consciousness and "" pinked up "" some. We could not help, in a way, being impressed",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"gave him several units of blood plasma and he began to regain consciousness and "" pinked up "" some. We could not help, in a way, being impressed",unknown,BE(COME)_PINK,BE(COME)_PINK
1945,FIC,LionIsInStreets,,".' N so'll others. Lotsa others, I betcha! "" Blood pinked his thin, sallow flesh and his eyes praised the new world they visioned.",MAKE_PINK,MAKE_PINK,MAKE_PINK,".' N so'll others. Lotsa others, I betcha! "" Blood pinked his thin, sallow flesh and his eyes praised the new world they visioned.",unknown,ADJECTIVE,ADJECTIVE
1945,MAG,SatEvePost,,"with publication of a book written anonymously and titled Washington Merry-Go-Round. The book irreverently pinked prominent capital personages -- Wrong-Horse Harry, the heading of a chapter on Secretary of",NONE,NONE,NONE,"with publication of a book written anonymously and titled Washington Merry-Go-Round. The book irreverently pinked prominent capital personages -- Wrong-Horse Harry, the heading of a chapter on Secretary of",unknown,MAKE_PINK,MAKE_PINK
1947,FIC,Gallery,,was just a harmless expression of their ego. And children allow themselves to be pinked by hot stoves just to get a little sympathy out of their parents. -- What,NONE,MAKE_PINK,NONE,was just a harmless expression of their ego. And children allow themselves to be pinked by hot stoves just to get a little sympathy out of their parents. -- What,unknown,NONE,NONE
1948,FIC,GuardHonor,,"where to aim; and the same practice taught him the rapid expert jab that pinked you right there through any offered opening. His hit made, Lieutenant Edsell,",NONE,NONE,NONE,"where to aim; and the same practice taught him the rapid expert jab that pinked you right there through any offered opening. His hit made, Lieutenant Edsell,",unknown,NONE,NONE
1948,FIC,RoanokeHundred,,"loose, but just as he did so the guide lunged again and this time pinked Colin in the shoulder. There was no pain, but blood began to drip",NONE,NONE,NONE,"loose, but just as he did so the guide lunged again and this time pinked Colin in the shoulder. There was no pain, but blood began to drip",unknown,NONE,NONE
1949,FIC,ManWithGoldenArm,,"it flutter up there with the first rumors of evening, and his own heart pinked with the wind. The frail cross of the kite's frame hung as piteously",NONE,NONE,NONE,"it flutter up there with the first rumors of evening, and his own heart pinked with the wind. The frail cross of the kite's frame hung as piteously",unknown,BE(COME)_PINK,BE(COME)_PINK
1950,TV/MOV,Treasure Island,,"Pipe down! - Aye,' t is the cabin boy. Someone's pinked him, for certain. Blood poisoning, I shouldn't doubt. Save me",NONE,NONE,NONE,"Pipe down! - Aye,' t is the cabin boy. Someone's pinked him, for certain. Blood poisoning, I shouldn't doubt. Save me",unknown,NONE,NONE
1956,FIC,BoonIsland,,"time the tiny vessels that lay just under her cheeks expanded in the warmth and pinked her complexion. On occasionhe lifted his hand from the reins to caress her,",MAKE_PINK,MAKE_PINK,MAKE_PINK,"time the tiny vessels that lay just under her cheeks expanded in the warmth and pinked her complexion. On occasionhe lifted his hand from the reins to caress her,",unknown,BE(COME)_PINK,BE(COME)_PINK
1959,NF/ACAD,CallTheDoctor,,"(1696) the crafty surgeon Syringe happens to be passing when Lord Foppington is pinked by an angry husband. Oons, what a gash is here!' exclaims",NONE,NONE,NONE,"(1696) the crafty surgeon Syringe happens to be passing when Lord Foppington is pinked by an angry husband. Oons, what a gash is here!' exclaims",unknown,NONE,NONE
1960,FIC,Vigorish,,"know where the Lodge stands. A little while on the visor as the east pinked up got me what I wanted. Because of the three-hour time difference, the",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"know where the Lodge stands. A little while on the visor as the east pinked up got me what I wanted. Because of the three-hour time difference, the",unknown,BE(COME)_PINK,BE(COME)_PINK
1960,FIC,Vigorish,,". "" A doctor, quick, "" I said. "" She's been pinked with nerve poison. "" "" She's gone, then, "" he said",NONE,NONE,NONE,". "" A doctor, quick, "" I said. "" She's been pinked with nerve poison. "" "" She's gone, then, "" he said",unknown,NONE,NONE
1960,FIC,SouthAngels,,", but some of his thoughts must have shown, for Tom Mount's face pinked up a little and his eyes mShel's finally unveiled. While Shel was unraveling",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,", but some of his thoughts must have shown, for Tom Mount's face pinked up a little and his eyes mShel's finally unveiled. While Shel was unraveling",unknown,BE(COME)_PINK,BE(COME)_PINK
1961,FIC,PlanetStrappers,,", and color, kept crystallized from sixty million years before. A cloud, pinked by sunrise, floating high in a thin, expanded atmosphere. Did clouds everywhere",MAKE_PINK,MAKE_PINK,MAKE_PINK,", and color, kept crystallized from sixty million years before. A cloud, pinked by sunrise, floating high in a thin, expanded atmosphere. Did clouds everywhere",unknown,BE(COME)_PINK,BE(COME)_PINK
1965,FIC,Stitch,,". "" A few feet of stuff, brown top, blue eyes, dots pinked in the cheek, hands on the rib cage, touching her breasts. """,BE(COME)_PINK,ADJECTIVE,BE(COME)_PINK,". "" A few feet of stuff, brown top, blue eyes, dots pinked in the cheek, hands on the rib cage, touching her breasts. """,unknown,ADJECTIVE,ADJECTIVE
