Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_blacken_COHA_GENERIC,GPT_CATEGORY
11,1831,FIC,AmericanCommon-place,"  leaves strew the forest-walk, And withered are the pale wild-flowers; The frost hangs blackening on the stalk, The dew-drops fall in frozen showers. Gone are the spring",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"  leaves strew the forest-walk, And withered are the pale wild-flowers; The frost hangs blackening on the stalk, The dew-drops fall in frozen showers. Gone are the spring",black,BE(COME)_BLACK,BE(COME)_BLACK
284,2005,FIC,AmericanGirlsAbout,"  . "" Tomorrow when you do the BBC breakfast show, I'm going to blacken your front tooth. You were marvelous! Marvelous! "" Nigel practically jumps up",PAINT_BODY_BLACK,PAINT_BODY_BLACK,PAINT_BODY_BLACK,"  . "" Tomorrow when you do the BBC breakfast show, I'm going to blacken your front tooth. You were marvelous! Marvelous! "" Nigel practically jumps up",black,MAKE_BLACK,MAKE_BLACK
130,1853,NF/ACAD,AmericanHandBook,"  the camera. His method is to fix at the bottom of a tube, blackened within, a piece of card, on which chloride of silver, mixed with",ADJECTIVE,MAKE_BLACK,MAKE_BLACK,"  the camera. His method is to fix at the bottom of a tube, blackened within, a piece of card, on which chloride of silver, mixed with",black,ADJECTIVE,ADJECTIVE
11,1853,NF/ACAD,AmericanHandBook,"  plate to the vapor of bromine, it assumes a leaden-grey color, which, blackens by light very readily. Exposing this to mercury will not produce any decided action",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"  plate to the vapor of bromine, it assumes a leaden-grey color, which, blackens by light very readily. Exposing this to mercury will not produce any decided action",black,BE(COME)_BLACK,BE(COME)_BLACK
12,1853,NF/ACAD,AmericanHandBook,"  ioduret of silver; and in this state it is exposed to light, which blackens it. When dry, it is to be again polished, either with dilute",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  ioduret of silver; and in this state it is exposed to light, which blackens it. When dry, it is to be again polished, either with dilute",black,MAKE_BLACK,MAKE_BLACK
307,1882,NF/ACAD,AmericanHero-Myths,"  the same reason, in many picture writings, both his face and body were blackened. Footnote 1: Sahagun, Lib. iii, Append, cap. vii.",PAINT_BODY_BLACK,PAINT_BODY_BLACK,PAINT_BODY_BLACK,"  the same reason, in many picture writings, both his face and body were blackened. Footnote 1: Sahagun, Lib. iii, Append, cap. vii.",black,PAINT_BODY_BLACK,PAINT_BODY_BLACK
234,1869,NF/ACAD,AmericanWomans,"  of preparation; even tough animal cartilages and sinews, instead of appearing burned and blackened in company with the roast meat to which they happen to be related, are",ADJECTIVE,ADJECTIVE,ADJECTIVE,"  of preparation; even tough animal cartilages and sinews, instead of appearing burned and blackened in company with the roast meat to which they happen to be related, are",black,ADJECTIVE,ADJECTIVE
757,1990,MAG,Americas,"  you could ever hope to see, "" Trent says. "" The ground is blackened, whitened and pinkened by the multitude of birds that fly in. "" #",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  you could ever hope to see, "" Trent says. "" The ground is blackened, whitened and pinkened by the multitude of birds that fly in. "" #",black,MAKE_BLACK,MAKE_BLACK
778,1995,FIC,AmerPoetryRev,  . # The banners hung. Strange music of country and God and the bunting blackened. Fear for them. # I bolt upright at five A.M. I fear for,BE(COME)_BLACK,ADJECTIVE,BE(COME)_BLACK,  . # The banners hung. Strange music of country and God and the bunting blackened. Fear for them. # I bolt upright at five A.M. I fear for,black,BE(COME)_BLACK,BE(COME)_BLACK
75,1845,MAG,AmWhigRev,  revolting to the moral sense of even the Roman of that corrupt age which is blackened in the memory and records of the human race by the betrayal and death of,DEFAME,DEFAME,DEFAME,  revolting to the moral sense of even the Roman of that corrupt age which is blackened in the memory and records of the human race by the betrayal and death of,black,MEMORY,MEMORY
76,1845,MAG,AmWhigRev,"  and soon defiled with the blood of enslaved, alarmed victims of superstition, and blackened with the smoke of burning churches, in which God, the Son of God",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  and soon defiled with the blood of enslaved, alarmed victims of superstition, and blackened with the smoke of burning churches, in which God, the Son of God",black,BURN,BURN
77,1845,MAG,AmWhigRev,"  portion of the community, as stained with the most odious, degrading vices, blackened with revolting crimes, and flagrant outrages on decency and piety, with corruption,",DEFAME,CORRUPT,CORRUPT,"  portion of the community, as stained with the most odious, degrading vices, blackened with revolting crimes, and flagrant outrages on decency and piety, with corruption,",black,CORRUPT,CORRUPT
78,1845,MAG,AmWhigRev,"  diamondhilted sword dripping with blood, his gay uniform riddled with balls and singed and blackened with powder, while his strong war-horse was streaked with foam and blood, and",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  diamondhilted sword dripping with blood, his gay uniform riddled with balls and singed and blackened with powder, while his strong war-horse was streaked with foam and blood, and",black,BURN,BURN
88,1847,MAG,AmWhigRev,"  the key of the Hudson river, then gave it up to the enemy and blackened his name forever. Mr. Headley, we think, has drawn his character with",DEFAME,DEFAME,DEFAME,"  the key of the Hudson river, then gave it up to the enemy and blackened his name forever. Mr. Headley, we think, has drawn his character with",black,DEFAME,DEFAME
118,1852,MAG,AmWhigRev,"  chapel, his frescos, though dimmed by the dust of five hundred years, blackened by the smoke of incense, abused by restorers, still show a power of",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  chapel, his frescos, though dimmed by the dust of five hundred years, blackened by the smoke of incense, abused by restorers, still show a power of",black,MAKE_BLACK,MAKE_BLACK
46,1852,MAG,AmWhigRev,"  full by the liars of the press, is poured out, to soil and blacken his reputation over the entire continent. The most infamous anecdotes are invented and put",DEFAME,DEFAME,DEFAME,"  full by the liars of the press, is poured out, to soil and blacken his reputation over the entire continent. The most infamous anecdotes are invented and put",black,DEFAME,DEFAME
38,1852,MAG,AmWhigRev,"  they were hampered by no vile associations; they were dogged by no foul and blackening history. The party had not proposed them, after months of deliberation, and",ADJECTIVE,ADJECTIVE,ADJECTIVE,"  they were hampered by no vile associations; they were dogged by no foul and blackening history. The party had not proposed them, after months of deliberation, and",black,DEFAME,DEFAME
294,1886,FIC,AnAlgonquinMaiden,"  reverend seigniors of the "" Family Compact "" would blacken their faces as they had blackened their hearts, and "" star "" it through the lowly hamlets of the Province",CORRUPT,PAINT_BODY_BLACK,PAINT_BODY_BLACK,"  reverend seigniors of the "" Family Compact "" would blacken their faces as they had blackened their hearts, and "" star "" it through the lowly hamlets of the Province",black,PAINT_BODY_BLACK,PAINT_BODY_BLACK
115,1886,FIC,AnAlgonquinMaiden,"  , that if the grave and reverend seigniors of the "" Family Compact "" would blacken their faces as they had blackened their hearts, and "" star "" it through",CORRUPT,CORRUPT,CORRUPT,"  , that if the grave and reverend seigniors of the "" Family Compact "" would blacken their faces as they had blackened their hearts, and "" star "" it through",black,PAINT_BODY_BLACK,PAINT_BODY_BLACK
795,1999,FIC,Analog,  doing the theoretically impossible: merging our life forces. Then the depths of space blackened and perception failed me. My eyes opened onto a scene of two fizzy faces,BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,  doing the theoretically impossible: merging our life forces. Then the depths of space blackened and perception failed me. My eyes opened onto a scene of two fizzy faces,black,BE(COME)_BLACK,BE(COME)_BLACK
892,2017,FIC,Analog,"  all night, feeling hopeful when the objects the offworlders put on his neck had blackened and fallen away, then dismayed when he had not awoken. Then, in",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"  all night, feeling hopeful when the objects the offworlders put on his neck had blackened and fallen away, then dismayed when he had not awoken. Then, in",black,BE(COME)_BLACK,BE(COME)_BLACK
893,2017,FIC,Analog,"  taken about putting her countenance in order had been futile; the prisoner had only blackened sockets where his eyes had been. # "" Can you hear? "" #",ADJECTIVE,ADJECTIVE,ADJECTIVE,"  taken about putting her countenance in order had been futile; the prisoner had only blackened sockets where his eyes had been. # "" Can you hear? "" #",black,ADJECTIVE,ADJECTIVE
894,2018,FIC,Analog,"  Stills didn't like, shone. The emergency light. The water inside was blackened and tinged with red. Shards of glass lay on the floor of the airlock",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"  Stills didn't like, shone. The emergency light. The water inside was blackened and tinged with red. Shards of glass lay on the floor of the airlock",black,ADJECTIVE,ADJECTIVE
895,2018,FIC,Analog,"  Zoh. Her beam finds the metal canister of the oxygen candle, one end blackened and distorted. Everything within a foot of the deck is charred, melted in",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"  Zoh. Her beam finds the metal canister of the oxygen candle, one end blackened and distorted. Everything within a foot of the deck is charred, melted in",black,BURN,BURN
896,2018,FIC,Analog,  off his ruined suit with stinging fingers. The carbon fiber at his fingertips had blackened and melted. He peeled away the adhesive comms patches from the hands of the,BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,  off his ruined suit with stinging fingers. The carbon fiber at his fingertips had blackened and melted. He peeled away the adhesive comms patches from the hands of the,black,BURN,BURN
900,2019,FIC,Analog,"  drizzle without getting our asses wet. # The partially clouded sky above purpled and blackened. The stars emerged and die fire sputtered and crackled, sending up a delicious",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"  drizzle without getting our asses wet. # The partially clouded sky above purpled and blackened. The stars emerged and die fire sputtered and crackled, sending up a delicious",black,ADJECTIVE,ADJECTIVE
298,2017,FIC,Analog,  leaf. I saw the handwriting of ages disappear; I saw the painted pictures blacken. I smelled the flowers whose petals had made the colored inks. Although I,BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,  leaf. I saw the handwriting of ages disappear; I saw the painted pictures blacken. I smelled the flowers whose petals had made the colored inks. Although I,black,BE(COME)_BLACK,BE(COME)_BLACK
299,2018,FIC,Analog,"  "" # "" That sounds about right. "" # Barigin watched the borehole walls blacken until he peered into a man-size tunnel lit only by his helmet brights. #",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"  "" # "" That sounds about right. "" # Barigin watched the borehole walls blacken until he peered into a man-size tunnel lit only by his helmet brights. #",black,BE(COME)_BLACK,BE(COME)_BLACK
