Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_blacken_BNC_congreso_GENERIC,GPT_CATEGORY
31,,,,"light bulb. The halogen bulb's unique regenerative cycle means that the filament does not wear out, the glass does not blacken , and the bulb lasts much longer than ordinary bulbs in fact, for between 2000 and 400 hours – all of which makes the",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"light bulb. The halogen bulb's unique regenerative cycle means that the filament does not wear out, the glass does not blacken , and the bulb lasts much longer than ordinary bulbs in fact, for between 2000 and 400 hours – all of which makes the",black,BE(COME)_BLACK,BE(COME)_BLACK
32,,,,"At this moment, she realised, all she felt was cold and stiff and tired and more than a little queasy. She glanced up at the blackened night sky, pin-pointed with stars so wondrous that it made her feel like crying, and wished she were home, warm and safe",ADJECTIVE,ADJECTIVE,ADJECTIVE,"At this moment, she realised, all she felt was cold and stiff and tired and more than a little queasy. She glanced up at the blackened night sky, pin-pointed with stars so wondrous that it made her feel like crying, and wished she were home, warm and safe",black,ADJECTIVE,ADJECTIVE
33,,,,", her body as rigid as the pretty statuette she clung to. She stared down at the scattered glass shimmering in the blackened water, remembered stories of people drowning in only inches of water and acknowledged her condition with a sinking",ADJECTIVE,ADJECTIVE,ADJECTIVE,", her body as rigid as the pretty statuette she clung to. She stared down at the scattered glass shimmering in the blackened water, remembered stories of people drowning in only inches of water and acknowledged her condition with a sinking",black,ADJECTIVE,ADJECTIVE
34,,,,"now struck a flutter of apprehension in her breast. For the bald trunks with their empty branches thrusting into the blackening sky echoed the bleak and eerie threat of the thicket that ran parallel down its length, bordering the estate. At the end",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"now struck a flutter of apprehension in her breast. For the bald trunks with their empty branches thrusting into the blackening sky echoed the bleak and eerie threat of the thicket that ran parallel down its length, bordering the estate. At the end",black,ADJECTIVE,ADJECTIVE
35,,,,"of natural grass were collected from the author's garden, merely subjected to various conditions and placed on blackened baking trays. White and grey test cards, and the samples, were viewed vertically from 30cm, though the greater",ADJECTIVE,ADJECTIVE,ADJECTIVE,"of natural grass were collected from the author's garden, merely subjected to various conditions and placed on blackened baking trays. White and grey test cards, and the samples, were viewed vertically from 30cm, though the greater",black,ADJECTIVE,ADJECTIVE
36,,,,"key in the lock, when I could emerge from the back, into the front, maybe, the dining-room. But now, as evening dust blackened the room, and my loose black hair pressed dead against the sheet, I lifted my hand and looked at it. There was nothing else",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"key in the lock, when I could emerge from the back, into the front, maybe, the dining-room. But now, as evening dust blackened the room, and my loose black hair pressed dead against the sheet, I lifted my hand and looked at it. There was nothing else",black,BE(COME)_BLACK,BE(COME)_BLACK
37,,,,"day most machines were running. Intense heat had melted and buckled the twisting frame that caught fire. Charred and blackened cones of yarn, melted plastic and rubber mixing with the mess. It will not run again for some time, but from the human",ADJECTIVE,ADJECTIVE,ADJECTIVE,"day most machines were running. Intense heat had melted and buckled the twisting frame that caught fire. Charred and blackened cones of yarn, melted plastic and rubber mixing with the mess. It will not run again for some time, but from the human",black,BURN,BURN
38,,,,"away from the house, Carolyn stubbed her toe badly on a brick end and had to sit down to nurse it. There was a log beside the blackened site of an old bonfire. As she sat rubbing her foot a sense of the ground around her intruded on her anger; a sense of the",ADJECTIVE,ADJECTIVE,ADJECTIVE,"away from the house, Carolyn stubbed her toe badly on a brick end and had to sit down to nurse it. There was a log beside the blackened site of an old bonfire. As she sat rubbing her foot a sense of the ground around her intruded on her anger; a sense of the",black,ADJECTIVE,ADJECTIVE
39,,,,"sky. He blew out his cheeks in an exaggerated gesture of effort and grinned, his teeth gleaming whitely against his blackened features in the darkness below. Grant glanced out beyond the dangling figure. Thirty yards away, the pack were even",ADJECTIVE,ADJECTIVE,ADJECTIVE,"sky. He blew out his cheeks in an exaggerated gesture of effort and grinned, his teeth gleaming whitely against his blackened features in the darkness below. Grant glanced out beyond the dangling figure. Thirty yards away, the pack were even",black,ADJECTIVE,ADJECTIVE
40,,,,", with the exception of his three buddies, Chuck, Jube and Red. He was still trying to find them among the milling blackened faces, when a sudden shout drew everyone's attention to a flicker of torch light weaving through the trees towards the",ADJECTIVE,ADJECTIVE,ADJECTIVE,", with the exception of his three buddies, Chuck, Jube and Red. He was still trying to find them among the milling blackened faces, when a sudden shout drew everyone's attention to a flicker of torch light weaving through the trees towards the",black,ADJECTIVE,ADJECTIVE
41,,,,"figure pointing a shotgun straight at them. It was not until the oriental had addressed the armed newcomer with the blackened face, that the two youngsters had recognised him as the private detective Brett Grant. Now, stumbling through the",ADJECTIVE,ADJECTIVE,ADJECTIVE,"figure pointing a shotgun straight at them. It was not until the oriental had addressed the armed newcomer with the blackened face, that the two youngsters had recognised him as the private detective Brett Grant. Now, stumbling through the",black,ADJECTIVE,ADJECTIVE
42,,,,"the port for over a month. Progress of US-led military operations The first US troops, heavily armed and with faces blackened , waded ashore and dug in on Mogadishu beaches early on Dec. 9, to be met by media lights and scores of news reporters. A",PAINT_BODY_BLACK,PAINT_BODY_BLACK,PAINT_BODY_BLACK,"the port for over a month. Progress of US-led military operations The first US troops, heavily armed and with faces blackened , waded ashore and dug in on Mogadishu beaches early on Dec. 9, to be met by media lights and scores of news reporters. A",black,PAINT_BODY_BLACK,PAINT_BODY_BLACK
43,,,,"of Brazil is a land of many kinds of hungers, and of a formidable thirst. Infants who die of dehydration, their tongues blackened (their mothers say) and hanging from their mouths, compete for attention with equally brutal images of thirst-driven",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"of Brazil is a land of many kinds of hungers, and of a formidable thirst. Infants who die of dehydration, their tongues blackened (their mothers say) and hanging from their mouths, compete for attention with equally brutal images of thirst-driven",black,BE(COME)_BLACK,BE(COME)_BLACK
44,,,,".' He sighed deeply but dared not disobey. Tenderly, she laid the first few bundles in the pail and sat back on her heels, blackened fingers curled, like a housewife waiting for the stove to light. In the bottom of the bucket the newspaper burned",ADJECTIVE,MAKE_BLACK,ADJECTIVE,".' He sighed deeply but dared not disobey. Tenderly, she laid the first few bundles in the pail and sat back on her heels, blackened fingers curled, like a housewife waiting for the stove to light. In the bottom of the bucket the newspaper burned",black,ADJECTIVE,ADJECTIVE
45,,,,"was no further sound except the steady suppuration of the fire. Then the landing window fell out in a rain of sparks and blackened timber and from the road came the terrifying, metallic clamour of the fire-engine bell. 'Emmie,' Oliver said. His",ADJECTIVE,ADJECTIVE,ADJECTIVE,"was no further sound except the steady suppuration of the fire. Then the landing window fell out in a rain of sparks and blackened timber and from the road came the terrifying, metallic clamour of the fire-engine bell. 'Emmie,' Oliver said. His",black,BURN,BURN
46,,,,"at Westminster, a Puritan, a lozenge of sanctified humility, got up from his arse and roared at me because I called him a blackened turd. 'Shallot,' he bellowed, 'you'll either die by hanging or die of the pox!' 'That, sir,' I coldly replied, 'depends",NONE,NONE,NONE,"at Westminster, a Puritan, a lozenge of sanctified humility, got up from his arse and roared at me because I called him a blackened turd. 'Shallot,' he bellowed, 'you'll either die by hanging or die of the pox!' 'That, sir,' I coldly replied, 'depends",black,DEFAME,DEFAME
47,,,,"still talking about the servant-girl's revelations when dawn broke on a grim picture. Windowless, roofless and with blackened walls, the manor house was still smoking and nobody dared go inside just yet. Dolly was one of the assembled crowd.",ADJECTIVE,ADJECTIVE,ADJECTIVE,"still talking about the servant-girl's revelations when dawn broke on a grim picture. Windowless, roofless and with blackened walls, the manor house was still smoking and nobody dared go inside just yet. Dolly was one of the assembled crowd.",black,BURN,BURN
48,,,,"the army – he is an educated man, a graduate. He taught in a primary school near Basra. Mr. Al Sultan is now a shrivelled, blackened person. His poor hands are black claws with burns from napalm bombing. He has no eyelids. He cannot sleep. His eyelids",ADJECTIVE,ADJECTIVE,ADJECTIVE,"the army – he is an educated man, a graduate. He taught in a primary school near Basra. Mr. Al Sultan is now a shrivelled, blackened person. His poor hands are black claws with burns from napalm bombing. He has no eyelids. He cannot sleep. His eyelids",black,BURN,BURN
49,,,,"hotelware, earthenware, crockery and china may be used provided it does not have metallic decoration which will blacken and spoil if used with microwave energy. A Mealstream oven can be operated as a straightforward commercial microwave",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"hotelware, earthenware, crockery and china may be used provided it does not have metallic decoration which will blacken and spoil if used with microwave energy. A Mealstream oven can be operated as a straightforward commercial microwave",black,BE(COME)_BLACK,BE(COME)_BLACK
50,,,,"therapeutic undertaking, which was very very and institutionalized for therapy, and the black books had already been blackened , as it were. People were already tending to ignore these very works we're looking at, theomonoism we'll be looking at",DEFAME,DEFAME,DEFAME,"therapeutic undertaking, which was very very and institutionalized for therapy, and the black books had already been blackened , as it were. People were already tending to ignore these very works we're looking at, theomonoism we'll be looking at",black,ADJECTIVE,ADJECTIVE
