Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_whiten_COCA_GENERIC,GPT_CATEGORY
95,2004,MOV,...ght Live: Presidential Bash 2004,"  it must be the same. Don't you know about it? Haemophilia can whiten the color of the blood. When the blood is damaged, would be hair",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"  it must be the same. Don't you know about it? Haemophilia can whiten the color of the blood. When the blood is damaged, would be hair",white,MAKE_WHITE,MAKE_WHITE
49,2012,BLOG,...-holistic-health.com,  forms on your teeth. Hydrogen peroxide will not only kill the plaque but also whiten your teeth. Caution: You must use only 1% hydrogen peroxide or you will,BLEACH,BLEACH,BLEACH,  forms on your teeth. Hydrogen peroxide will not only kill the plaque but also whiten your teeth. Caution: You must use only 1% hydrogen peroxide or you will,white,BLEACH,BLEACH
27,2012,WEB,...irhealthconsumer.org,"  cover implants. In addition, services for strictly cosmetic reasons, such as teeth whitening, are rarely covered by dental insurance. However, discounts for these services may",NOUN,NOUN,NOUN,"  cover implants. In addition, services for strictly cosmetic reasons, such as teeth whitening, are rarely covered by dental insurance. However, discounts for these services may",white,NOUN,NOUN
69,2012,BLOG,...nagurl.wordpress.com,  to be absorbed before rinsing. # Use Epsom salt and liquid dish detergent to whiten floor tiles and dissolve dirt. By adding some Epsom salt to your sudsy water,MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,  to be absorbed before rinsing. # Use Epsom salt and liquid dish detergent to whiten floor tiles and dissolve dirt. By adding some Epsom salt to your sudsy water,white,BLEACH,BLEACH
42,2012,BLOG,...ndingpersonality.com,"  She knows they come to her for cleanings, fillings, root canals, and whitening. This dentist will make sure her website can be found on Google, Yahoo",NOUN,NOUN,NOUN,"  She knows they come to her for cleanings, fillings, root canals, and whitening. This dentist will make sure her website can be found on Google, Yahoo",white,NOUN,NOUN
64,2012,BLOG,...nlucca.wordpress.com,  black. I read in your pdf file that you add a yellow filter to whiten a blue light. Pigments are not altogether different than light. # Yellow transparent,MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,  black. I read in your pdf file that you add a yellow filter to whiten a blue light. Pigments are not altogether different than light. # Yellow transparent,white,BLEACH,BLEACH
57,2012,BLOG,...og.uncommongoods.com,"  known) -- aren't necessary. There are plenty of non-toxic chemicals that can whiten paper, including the same stuff that's in Oxy-Clean. # When you do",BLEACH,BLEACH,BLEACH,"  known) -- aren't necessary. There are plenty of non-toxic chemicals that can whiten paper, including the same stuff that's in Oxy-Clean. # When you do",white,BLEACH,BLEACH
59,2012,BLOG,...omeschooljournal.net,"  "" Life has loveliness to sell, all beautiful and splendid things, blue waves whitened on a cliff, soaring fire that sways and sings, and children's faces",BE(COME)_WHITE,BE(COME)_WHITE,BE(COME)_WHITE,"  "" Life has loveliness to sell, all beautiful and splendid things, blue waves whitened on a cliff, soaring fire that sways and sings, and children's faces",white,MAKE_WHITE,MAKE_WHITE
83,2012,BLOG,...oodthingbyjillee.com,  a big difference when I've done that (much more noticable than bleach's whitening power). # I have been using the liquid version for months and my,ADJECTIVE,ADJECTIVE,ADJECTIVE,  a big difference when I've done that (much more noticable than bleach's whitening power). # I have been using the liquid version for months and my,white,BLEACH,BLEACH
70,2012,BLOG,...oodthingbyjillee.com,  bought the cheap detergent which would ruin our clothes at the end. It would whiten them and make them loose their color. Has anyone tried it long enough to,MAKE_WHITE,BLEACH,BLEACH,  bought the cheap detergent which would ruin our clothes at the end. It would whiten them and make them loose their color. Has anyone tried it long enough to,white,BLEACH,BLEACH
55,2012,BLOG,...phkings.blogspot.com,"  and also mouthwash # : Wash, head of hair conditioner, hair styling teeth whitening gel # : Water cosmetics (that features mascara, girls) # : Palm",ADJECTIVE,ADJECTIVE,ADJECTIVE,"  and also mouthwash # : Wash, head of hair conditioner, hair styling teeth whitening gel # : Water cosmetics (that features mascara, girls) # : Palm",white,NOUN,NOUN
56,2012,BLOG,...phkings.blogspot.com,"  : Scent, cologne, after-shave product # : Water drugs # : Huge teeth whitening gel lids (for instance Vitamin e antioxidant) # : Yogurt, applesauce,",ADJECTIVE,ADJECTIVE,ADJECTIVE,"  : Scent, cologne, after-shave product # : Water drugs # : Huge teeth whitening gel lids (for instance Vitamin e antioxidant) # : Yogurt, applesauce,",white,NOUN,NOUN
57,2012,BLOG,...phkings.blogspot.com,  # : Lips shine # : Water palm sanitizer # : Head of hair teeth whitening gel # : Sunshine bronze product # Enhance the previously mentioned record almost any merchandise,ADJECTIVE,ADJECTIVE,ADJECTIVE,  # : Lips shine # : Water palm sanitizer # : Head of hair teeth whitening gel # : Sunshine bronze product # Enhance the previously mentioned record almost any merchandise,white,NOUN,NOUN
58,2012,BLOG,...practicalwedding.com,"  n't going to feel like I needed to get a spray-tan, get my teeth whitened, or go to bridal boot camp because I love my dress, exactly as",BLEACH,BLEACH,BLEACH,"  n't going to feel like I needed to get a spray-tan, get my teeth whitened, or go to bridal boot camp because I love my dress, exactly as",white,BLEACH,BLEACH
51,2012,BLOG,...smakemelookcrazy.com,"  become one of those gymnasts who weigh 83 lbs and have feet which are permanently whitened with chalk dust, I'd really like to her to be able to have",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"  become one of those gymnasts who weigh 83 lbs and have feet which are permanently whitened with chalk dust, I'd really like to her to be able to have",white,COAT_WITH_WHITE,COAT_WITH_WHITE
55,2012,BLOG,...tasies.wordpress.com,"  and placed it next to it, in full view of the class. May whitened, she only did this for one reason. She had seen it happen before",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"  and placed it next to it, in full view of the class. May whitened, she only did this for one reason. She had seen it happen before",white,BE(COME)_PALE,BE(COME)_PALE
56,2012,BLOG,...tasies.wordpress.com,"  here. "" Her mother said. "" You know the rules. "" May whitened. "" No mum, please, not another spanking. "" "" You know",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"  here. "" Her mother said. "" You know the rules. "" May whitened. "" No mum, please, not another spanking. "" "" You know",white,BE(COME)_PALE,BE(COME)_PALE
52,2012,BLOG,...un1951.wordpress.com,"  "" Life has loveliness to sell, all beautiful and splendid things, blue waves whitened on a cliff, soaring fire that sways and sings, and children's faces",BE(COME)_WHITE,BE(COME)_WHITE,BE(COME)_WHITE,"  "" Life has loveliness to sell, all beautiful and splendid things, blue waves whitened on a cliff, soaring fire that sways and sings, and children's faces",white,BE(COME)_WHITE,BE(COME)_WHITE
99,2002,MOV,...Winter Olympics Opening Ceremony,"  ? Since we were talking about Richard Hammond, your car's had its teeth whitened. (both_laughing) RICHARD: Lillehammer has one of the most formidable bobsleigh runs",COAT_WITH_WHITE,BLEACH,MAKE_WHITE,"  ? Since we were talking about Richard Hammond, your car's had its teeth whitened. (both_laughing) RICHARD: Lillehammer has one of the most formidable bobsleigh runs",white,BLEACH,BLEACH
36,2012,WEB,...xegesis.blogspot.com,"  shining, exceedingly white, like snow, such as no launderer on earth can whiten them. And Elijah appeared to them with Moses, and they were talking with",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"  shining, exceedingly white, like snow, such as no launderer on earth can whiten them. And Elijah appeared to them with Moses, and they were talking with",white,BLEACH,BLEACH
37,2012,WEB,...xegesis.blogspot.com,"  shining, exceedingly white, like snow, such as no launderer on earth can whiten them. This powerful scene of transfiguration takes place soon after Peter's confession.",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"  shining, exceedingly white, like snow, such as no launderer on earth can whiten them. This powerful scene of transfiguration takes place soon after Peter's confession.",white,BLEACH,BLEACH
91,2012,BLOG,...yskinuk.blogspot.com,"  left stained through your smoking habit, then take a look at the newest Teeth Whitening Pens # This may seem like an expensive long winded exercise for some. But",ADJECTIVE,ADJECTIVE,ADJECTIVE,"  left stained through your smoking habit, then take a look at the newest Teeth Whitening Pens # This may seem like an expensive long winded exercise for some. But",white,NOUN,NOUN
78,2010,ACAD,20thCentLit,"  figuratively fissured, physical structures like the abandoned mills ("" never quite stripped and whitened to a skeleton's decency: like corpses at their most horrible "" 178)",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"  figuratively fissured, physical structures like the abandoned mills ("" never quite stripped and whitened to a skeleton's decency: like corpses at their most horrible "" 178)",white,MAKE_WHITE,MAKE_WHITE
